dataset,seed,method,model_type,val_auroc,test_auroc,duration_s,best_config
breast_cancer,42,bo,mlp,0.9993,0.9931,681.5,"{""learning_rate"": 0.0459646136559838, ""batch_size"": 16, ""hidden_dim"": 118, ""dropout"": 0.22111129050597397, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0007196250019680718, ""activation"": ""relu""}"
breast_cancer,42,bo,rf,0.9902,0.9917,528.9,"{""n_estimators"": 72, ""max_depth"": 13, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.7597777511089348}"
breast_cancer,42,acrs,mlp,0.9993,0.9881,22.3,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 64, ""hidden_dim"": 133, ""dropout"": 0.42929895995569123, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
breast_cancer,42,acrs,rf,0.9892,0.9921,12.9,"{""n_estimators"": 90, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
breast_cancer,123,bo,mlp,0.9993,0.9572,670.5,"{""learning_rate"": 0.0033454317590145832, ""batch_size"": 16, ""hidden_dim"": 168, ""dropout"": 0.3968980298536592, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0029931294460599665, ""activation"": ""relu""}"
breast_cancer,123,bo,rf,0.9912,0.9977,529.9,"{""n_estimators"": 459, ""max_depth"": 24, ""min_samples_split"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9036596988055505}"
breast_cancer,123,acrs,mlp,0.9997,0.9954,25.3,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 82, ""dropout"": 0.11017993638630569, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
breast_cancer,123,acrs,rf,0.9889,0.997,20.5,"{""n_estimators"": 170, ""max_depth"": 22, ""min_samples_split"": 13, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""max_samples"": 0.5921859053493348}"
breast_cancer,456,bo,mlp,1.0,0.9785,653.5,"{""learning_rate"": 0.09779220514713195, ""batch_size"": 128, ""hidden_dim"": 54, ""dropout"": 0.23524816729013118, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.00017391450486665185, ""activation"": ""tanh""}"
breast_cancer,456,bo,rf,0.9931,0.9896,536.9,"{""n_estimators"": 225, ""max_depth"": 21, ""min_samples_split"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""criterion"": ""entropy"", ""max_samples"": 0.9796751287806328}"
breast_cancer,456,acrs,mlp,0.9997,0.9964,36.9,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
breast_cancer,456,acrs,rf,0.9915,0.975,24.2,"{""n_estimators"": 209, ""max_depth"": 16, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""max_samples"": 0.669145637873684}"
diabetes,42,bo,mlp,0.8817,0.825,661.9,"{""learning_rate"": 0.009558654940990901, ""batch_size"": 16, ""hidden_dim"": 98, ""dropout"": 0.19913298053436754, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.703912967976187e-06, ""activation"": ""relu""}"
diabetes,42,bo,rf,0.8724,0.8248,554.2,"{""n_estimators"": 323, ""max_depth"": 26, ""min_samples_split"": 17, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.5281310464644108}"
diabetes,42,acrs,mlp,0.8815,0.8185,41.2,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 32, ""hidden_dim"": 154, ""dropout"": 0.42929895995569123, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.005578269385887e-06, ""activation"": ""relu""}"
diabetes,42,acrs,rf,0.8754,0.8174,27.5,"{""n_estimators"": 239, ""max_depth"": 24, ""min_samples_split"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.8158321995610325}"
diabetes,123,bo,mlp,0.868,0.8557,674.9,"{""learning_rate"": 0.054104707361336, ""batch_size"": 32, ""hidden_dim"": 49, ""dropout"": 0.483589436734814, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0006814473965368063, ""activation"": ""relu""}"
diabetes,123,bo,rf,0.858,0.8589,510.0,"{""n_estimators"": 130, ""max_depth"": 25, ""min_samples_split"": 18, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8685249186758959}"
diabetes,123,acrs,mlp,0.8585,0.8552,66.0,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 16, ""hidden_dim"": 44, ""dropout"": 0.10907143662499397, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
diabetes,123,acrs,rf,0.8526,0.8543,19.6,"{""n_estimators"": 160, ""max_depth"": 22, ""min_samples_split"": 19, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""criterion"": ""gini"", ""max_samples"": 0.5921859053493348}"
diabetes,456,bo,mlp,0.8654,0.828,666.8,"{""learning_rate"": 0.003978051960727984, ""batch_size"": 64, ""hidden_dim"": 231, ""dropout"": 0.25856797479221905, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00019280888246038, ""activation"": ""tanh""}"
