dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
breast_cancer,42,bo,mlp,1.0,0.9825,0.995,0.9561,652.7,0.07597,"{""learning_rate"": 0.006489480334394847, ""batch_size"": 128, ""hidden_dim"": 149, ""dropout"": 0.0551994109433034, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00016160128992402393, ""activation"": ""tanh""}"
breast_cancer,42,bo,rf,0.9898,0.9386,0.9901,0.9474,514.1,0.059791,"{""n_estimators"": 70, ""max_depth"": 12, ""min_samples_split"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.5426057112109078}"
breast_cancer,42,acrs,mlp,0.9993,0.9825,0.9944,0.9561,22.8,0.002652,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 64, ""hidden_dim"": 130, ""dropout"": 0.3790438700426869, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
breast_cancer,42,acrs,rf,0.9915,0.9386,0.9911,0.9474,15.8,0.001837,"{""n_estimators"": 90, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
breast_cancer,123,bo,mlp,0.9997,0.9737,0.9588,0.9737,684.4,0.079603,"{""learning_rate"": 0.0016050728312117619, ""batch_size"": 16, ""hidden_dim"": 153, ""dropout"": 0.16631589309515685, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0001713713042899816, ""activation"": ""relu""}"
breast_cancer,123,bo,rf,0.9905,0.9474,0.998,0.9649,567.3,0.066033,"{""n_estimators"": 464, ""max_depth"": 25, ""min_samples_split"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9264405116725998}"
breast_cancer,123,acrs,mlp,0.9997,0.9912,0.9812,0.9737,62.8,0.007305,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 16, ""hidden_dim"": 245, ""dropout"": 0.11017993638630569, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
breast_cancer,123,acrs,rf,0.9916,0.9474,0.9979,0.9649,23.5,0.002729,"{""n_estimators"": 157, ""max_depth"": 21, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8050724141508662}"
breast_cancer,456,bo,mlp,1.0,0.9825,0.995,0.9474,650.0,0.075599,"{""learning_rate"": 0.07560347074465516, ""batch_size"": 16, ""hidden_dim"": 116, ""dropout"": 0.36532745317638293, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.634655268067013e-06, ""activation"": ""tanh""}"
breast_cancer,456,bo,rf,0.9931,0.9474,0.9831,0.9561,536.2,0.062359,"{""n_estimators"": 452, ""max_depth"": 29, ""min_samples_split"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9481299801441457}"
breast_cancer,456,acrs,mlp,1.0,0.9825,0.9967,0.9737,40.1,0.004667,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 16, ""hidden_dim"": 244, ""dropout"": 0.06202840304982771, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00010649338575978327, ""activation"": ""relu""}"
breast_cancer,456,acrs,rf,0.9921,0.9474,0.979,0.9561,27.6,0.003215,"{""n_estimators"": 209, ""max_depth"": 16, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.6821866540901571}"
diabetes,42,bo,mlp,0.8817,0.8052,0.815,0.7403,676.0,0.078696,"{""learning_rate"": 0.028340904295147733, ""batch_size"": 16, ""hidden_dim"": 105, ""dropout"": 0.36480308916903204, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0001758364027000851, ""activation"": ""relu""}"
diabetes,42,bo,rf,0.8754,0.7792,0.8178,0.7403,521.5,0.060726,"{""n_estimators"": 148, ""max_depth"": 13, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""criterion"": ""entropy"", ""max_samples"": 0.8954131460677176}"
diabetes,42,acrs,mlp,0.8865,0.7857,0.7969,0.7273,36.2,0.004213,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 64, ""hidden_dim"": 130, ""dropout"": 0.42929895995569123, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00010096691816860126, ""activation"": ""tanh""}"
diabetes,42,acrs,rf,0.8741,0.7792,0.8233,0.7403,48.7,0.005667,"{""n_estimators"": 402, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
diabetes,123,bo,mlp,0.858,0.7662,0.8665,0.7597,652.8,0.076029,"{""learning_rate"": 0.06394454226266055, ""batch_size"": 128, ""hidden_dim"": 204, ""dropout"": 0.25203592599419733, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.005611594424918427, ""activation"": ""relu""}"
diabetes,123,bo,rf,0.8622,0.7597,0.8541,0.7273,513.8,0.059845,"{""n_estimators"": 53, ""max_depth"": 3, ""min_samples_split"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""max_samples"": 0.8745228731659362}"
diabetes,123,acrs,mlp,0.8502,0.7987,0.8544,0.7727,37.8,0.004403,"{""learning_rate"": 0.05300506829854321, ""batch_size"": 128, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
