dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
bank_marketing,123,acrs,mlp,0.9121,0.9071,0.8925,0.8972,194.2,0.022565,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 237, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
bank_marketing,42,acrs,mlp,0.9208,0.9226,0.9021,0.916,235.2,0.027345,"{""learning_rate"": 0.0003032765451962615, ""batch_size"": 128, ""hidden_dim"": 83, ""dropout"": 0.42929895995569123, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
bank_marketing,456,acrs,mlp,0.9349,0.9192,0.9178,0.9072,305.7,0.03551,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 32, ""hidden_dim"": 242, ""dropout"": 0.011584943469029996, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00010649338575978327, ""activation"": ""relu""}"
bank_marketing,123,bo,mlp,0.9196,0.9027,0.9185,0.9061,1175.0,0.13661,"{""learning_rate"": 0.006231521197560069, ""batch_size"": 64, ""hidden_dim"": 191, ""dropout"": 0.18650756507202493, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.002412245462455084, ""activation"": ""tanh""}"
bank_marketing,42,bo,mlp,0.9226,0.9104,0.8921,0.9171,1124.0,0.13068,"{""learning_rate"": 0.005615046189463724, ""batch_size"": 64, ""hidden_dim"": 191, ""dropout"": 0.39685805684341896, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0006714850578162054, ""activation"": ""tanh""}"
bank_marketing,456,bo,mlp,0.9381,0.8916,0.9092,0.8961,1146.1,0.133316,"{""learning_rate"": 0.004134006964704883, ""batch_size"": 16, ""hidden_dim"": 82, ""dropout"": 0.23154817335878888, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0043805728448412795, ""activation"": ""relu""}"
bank_marketing,123,acrs,rf,0.9349,0.9038,0.9249,0.8983,35.2,0.004114,"{""n_estimators"": 170, ""max_depth"": 19, ""min_samples_split"": 13, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""criterion"": ""entropy"", ""max_samples"": 0.8995625643100414}"
bank_marketing,42,acrs,rf,0.9259,0.8982,0.9172,0.9083,37.6,0.004358,"{""n_estimators"": 321, ""max_depth"": 23, ""min_samples_split"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.8486840145296819}"
bank_marketing,456,acrs,rf,0.9431,0.8971,0.9321,0.9006,46.5,0.005404,"{""n_estimators"": 209, ""max_depth"": 17, ""min_samples_split"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
bank_marketing,123,bo,rf,0.9348,0.9049,0.9213,0.895,707.3,0.082215,"{""n_estimators"": 320, ""max_depth"": 27, ""min_samples_split"": 19, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.907487741889013}"
bank_marketing,42,bo,rf,0.9257,0.8993,0.9141,0.9105,694.4,0.080729,"{""n_estimators"": 84, ""max_depth"": 19, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""max_samples"": 0.6251613793149285}"
bank_marketing,456,bo,rf,0.9424,0.896,0.9338,0.9039,673.5,0.078289,"{""n_estimators"": 268, ""max_depth"": 28, ""min_samples_split"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9707958351925982}"
breast_cancer,123,acrs,mlp,0.9987,0.9825,0.9944,0.9825,35.3,0.004098,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
breast_cancer,42,acrs,mlp,0.9993,0.9912,0.995,0.9561,43.5,0.005079,"{""learning_rate"": 0.04308466920077774, ""batch_size"": 64, ""hidden_dim"": 131, ""dropout"": 0.42929895995569123, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
breast_cancer,456,acrs,mlp,0.9997,0.9912,0.995,0.9825,76.2,0.008848,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
breast_cancer,123,bo,mlp,1.0,0.9912,0.9699,0.9825,906.1,0.105453,"{""learning_rate"": 0.035704310360306614, ""batch_size"": 32, ""hidden_dim"": 128, ""dropout"": 0.4864819566578341, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 7.25592962208235e-06, ""activation"": ""relu""}"
breast_cancer,42,bo,mlp,0.9997,0.9825,0.9947,0.9474,874.5,0.101816,"{""learning_rate"": 0.006333041168067667, ""batch_size"": 128, ""hidden_dim"": 145, ""dropout"": 0.1392278565816578, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 2.6137504005944917e-05, ""activation"": ""tanh""}"
breast_cancer,456,bo,mlp,0.9997,0.9912,0.9974,0.9737,897.6,0.104294,"{""learning_rate"": 0.04388065437593801, ""batch_size"": 64, ""hidden_dim"": 158, ""dropout"": 0.25850023118810356, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.488905614772007e-05, ""activation"": ""tanh""}"
breast_cancer,123,acrs,rf,0.9908,0.9474,0.9987,0.9649,64.0,0.007417,"{""n_estimators"": 297, ""max_depth"": 9, ""min_samples_split"": 5, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.5921859053493348}"
breast_cancer,42,acrs,rf,0.9876,0.9561,0.9917,0.9474,72.8,0.008505,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
breast_cancer,456,acrs,rf,0.9931,0.9474,0.9793,0.9649,34.5,0.004015,"{""n_estimators"": 155, ""max_depth"": 11, ""min_samples_split"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
breast_cancer,123,bo,rf,0.991,0.9474,0.998,0.9649,704.8,0.08205,"{""n_estimators"": 143, ""max_depth"": 15, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.6960559051434649}"
breast_cancer,42,bo,rf,0.9885,0.9561,0.9921,0.9474,709.3,0.082645,"{""n_estimators"": 244, ""max_depth"": 11, ""min_samples_split"": 13, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.5998368910791798}"
breast_cancer,456,bo,rf,0.9928,0.9474,0.9797,0.9649,721.7,0.083843,"{""n_estimators"": 51, ""max_depth"": 25, ""min_samples_split"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.6915260174595194}"
diabetes,123,acrs,mlp,0.8522,0.7532,0.8644,0.7597,54.9,0.006386,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 128, ""hidden_dim"": 44, ""dropout"": 0.24974337515150863, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
diabetes,42,acrs,mlp,0.8857,0.8247,0.8244,0.7273,55.6,0.006473,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 16, ""hidden_dim"": 219, ""dropout"": 0.17726298406493418, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
diabetes,456,acrs,mlp,0.865,0.7857,0.8491,0.7857,132.3,0.01538,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 16, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.0050344809789915e-05, ""activation"": ""relu""}"
