dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
adult_income,123,acrs,mlp,0.8909,0.8414,0.89,0.8373,411.8,0.046957,"{""learning_rate"": 0.005362995752391278, ""batch_size_exp"": 6, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 2.2393202243931716e-05, ""activation"": ""relu""}"
adult_income,1234,acrs,mlp,0.8865,0.8434,0.8953,0.8536,370.1,0.041843,"{""learning_rate"": 0.004360109455220119, ""batch_size_exp"": 7, ""hidden_dim"": 51, ""dropout"": 0.3418444545430053, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 1.8896798566295413e-05, ""activation"": ""tanh""}"
adult_income,2345,acrs,mlp,0.9113,0.8362,0.8946,0.8393,1541.9,0.174515,"{""learning_rate"": 0.009490341980912328, ""batch_size_exp"": 6, ""hidden_dim"": 172, ""dropout"": 0.31810954359210647, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.002640962819077184, ""activation"": ""tanh""}"
adult_income,3456,acrs,mlp,0.9028,0.8588,0.8838,0.8465,3524.2,0.398791,"{""learning_rate"": 0.009652692543569869, ""batch_size_exp"": 5, ""hidden_dim"": 155, ""dropout"": 0.15508838275439502, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.00040126953607973686, ""activation"": ""tanh""}"
adult_income,42,acrs,mlp,0.9029,0.8434,0.8923,0.824,542.2,0.061371,"{""learning_rate"": 0.012468786659075646, ""batch_size_exp"": 6, ""hidden_dim"": 131, ""dropout"": 0.42929895995569123, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
adult_income,456,acrs,mlp,0.917,0.8516,0.8775,0.8321,1399.9,0.159261,"{""learning_rate"": 0.00022550963549492105, ""batch_size_exp"": 4, ""hidden_dim"": 241, ""dropout"": 0.06202840304982771, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""tanh""}"
adult_income,4567,acrs,mlp,0.8977,0.8414,0.8901,0.8454,2502.2,0.283197,"{""learning_rate"": 0.00017868365079038608, ""batch_size_exp"": 4, ""hidden_dim"": 239, ""dropout"": 0.22620328579177873, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.491900158424132e-05, ""activation"": ""tanh""}"
adult_income,5678,acrs,mlp,0.9003,0.8516,0.8926,0.8373,1233.3,0.139593,"{""learning_rate"": 0.04576747196022127, ""batch_size_exp"": 4, ""hidden_dim"": 182, ""dropout"": 0.33676154703978145, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.0007634954976851004, ""activation"": ""tanh""}"
adult_income,6789,acrs,mlp,0.9026,0.8506,0.8768,0.8362,743.7,0.084149,"{""learning_rate"": 0.0016675902941244703, ""batch_size_exp"": 5, ""hidden_dim"": 83, ""dropout"": 0.048612169940337846, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.005286556590179865, ""activation"": ""relu""}"
adult_income,789,acrs,mlp,0.9069,0.8516,0.8911,0.8403,946.2,0.107042,"{""learning_rate"": 0.0022662526561249775, ""batch_size_exp"": 5, ""hidden_dim"": 80, ""dropout"": 0.4233151893209274, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.0327765408655496e-06, ""activation"": ""relu""}"
adult_income,123,acrs_normal,mlp,0.8917,0.8362,0.8916,0.8362,356.5,0.040679,"{""learning_rate"": 0.005362995752391278, ""batch_size_exp"": 6, ""hidden_dim"": 44, ""dropout"": 0.080880934520422, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
adult_income,1234,acrs_normal,mlp,0.8847,0.8352,0.8908,0.8465,286.6,0.032433,"{""learning_rate"": 0.011130607622174892, ""batch_size_exp"": 7, ""hidden_dim"": 42, ""dropout"": 0.5, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 1.8896798566295413e-05, ""activation"": ""tanh""}"
adult_income,2345,acrs_normal,mlp,0.9113,0.8475,0.8949,0.828,1841.6,0.208415,"{""learning_rate"": 0.0010550801227731694, ""batch_size_exp"": 4, ""hidden_dim"": 137, ""dropout"": 0.31810954359210647, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.010000000000000004, ""activation"": ""tanh""}"
adult_income,3456,acrs_normal,mlp,0.9057,0.8598,0.8829,0.8475,1650.4,0.186736,"{""learning_rate"": 0.0010429603892000928, ""batch_size_exp"": 5, ""hidden_dim"": 196, ""dropout"": 0.29598142097543345, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.003814963587166036, ""activation"": ""tanh""}"
adult_income,42,acrs_normal,mlp,0.9026,0.8362,0.8906,0.8209,749.7,0.08495,"{""learning_rate"": 0.012468786659075646, ""batch_size_exp"": 6, ""hidden_dim"": 131, ""dropout"": 0.3564417969267025, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
adult_income,456,acrs_normal,mlp,0.9102,0.8567,0.8683,0.8229,588.6,0.0672,"{""learning_rate"": 0.00488796555516825, ""batch_size_exp"": 5, ""hidden_dim"": 132, ""dropout"": 0.020759487200802965, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
adult_income,4567,acrs_normal,mlp,0.8969,0.8444,0.8905,0.8444,2111.9,0.239014,"{""learning_rate"": 2.180936559016436e-05, ""batch_size_exp"": 7, ""hidden_dim"": 239, ""dropout"": 0.13706715557640312, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00010008255921866303, ""activation"": ""tanh""}"
adult_income,5678,acrs_normal,mlp,0.9017,0.8577,0.8884,0.8373,754.0,0.085381,"{""learning_rate"": 0.05949887655479556, ""batch_size_exp"": 5, ""hidden_dim"": 182, ""dropout"": 0.33676154703978145, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.010000000000000004, ""activation"": ""tanh""}"
