dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
adult_income,123,acrs,mlp,0.8913,0.8383,0.891,0.8444,336.0,0.038055,"{""learning_rate"": 0.005362995752391278, ""batch_size_exp"": 6, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.119117347118678e-05, ""activation"": ""relu""}"
adult_income,1234,acrs,mlp,0.8872,0.8465,0.8948,0.8557,351.7,0.039813,"{""learning_rate"": 0.005006396629274288, ""batch_size_exp"": 7, ""hidden_dim"": 117, ""dropout"": 0.3055089905555051, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 1.8896798566295413e-05, ""activation"": ""tanh""}"
adult_income,2345,acrs,mlp,0.9107,0.8485,0.8968,0.8352,1875.8,0.212473,"{""learning_rate"": 0.025698541138919492, ""batch_size_exp"": 5, ""hidden_dim"": 252, ""dropout"": 0.024300933629757937, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 1.185311042914662e-05, ""activation"": ""tanh""}"
adult_income,3456,acrs,mlp,0.904,0.8649,0.888,0.8403,1819.2,0.206331,"{""learning_rate"": 0.09917109404767029, ""batch_size_exp"": 4, ""hidden_dim"": 155, ""dropout"": 0.4528938261201163, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 1.7795051582934743e-05, ""activation"": ""tanh""}"
adult_income,42,acrs,mlp,0.9023,0.8526,0.8966,0.8475,506.7,0.057345,"{""learning_rate"": 0.012468786659075646, ""batch_size_exp"": 6, ""hidden_dim"": 53, ""dropout"": 0.42929895995569123, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
adult_income,456,acrs,mlp,0.9165,0.8475,0.8803,0.8321,2043.5,0.231447,"{""learning_rate"": 0.00044407957247655634, ""batch_size_exp"": 7, ""hidden_dim"": 174, ""dropout"": 0.11628735114148159, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""tanh""}"
adult_income,4567,acrs,mlp,0.8976,0.8465,0.888,0.8434,840.5,0.095178,"{""learning_rate"": 0.0006521276656444063, ""batch_size_exp"": 5, ""hidden_dim"": 232, ""dropout"": 0.09357534575578019, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 4.710222869678156e-06, ""activation"": ""tanh""}"
adult_income,5678,acrs,mlp,0.8998,0.8434,0.8873,0.8434,854.2,0.096561,"{""learning_rate"": 0.04576747196022127, ""batch_size_exp"": 5, ""hidden_dim"": 144, ""dropout"": 0.33676154703978145, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.0015672946637566593, ""activation"": ""tanh""}"
adult_income,6789,acrs,mlp,0.9057,0.8557,0.8717,0.8209,815.1,0.092207,"{""learning_rate"": 0.005497534142599663, ""batch_size_exp"": 4, ""hidden_dim"": 83, ""dropout"": 0.048612169940337846, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.005286556590179865, ""activation"": ""tanh""}"
adult_income,789,acrs,mlp,0.9075,0.8465,0.885,0.8393,1195.9,0.135356,"{""learning_rate"": 0.004260386046884754, ""batch_size_exp"": 4, ""hidden_dim"": 80, ""dropout"": 0.21603413620417194, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 1.0327765408655496e-06, ""activation"": ""relu""}"
