trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
1,breast_cancer,mlp,bo,42,0.9872256796593515,0.9473684210526315,2.5106303691864014,"{""learning_rate"": 0.00031489116479568613, ""batch_size"": 16, ""hidden_dim"": 67, ""dropout"": 0.02904180608409973, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 7.068974950624607e-06, ""activation"": ""tanh""}"
2,breast_cancer,mlp,bo,42,0.9895185063871602,0.868421052631579,1.371570110321045,"{""learning_rate"": 0.00016480446427978953, ""batch_size"": 128, ""hidden_dim"": 63, ""dropout"": 0.14607232426760908, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.5339162591163623e-06, ""activation"": ""relu""}"
3,breast_cancer,mlp,bo,42,0.8745496233213232,0.49122807017543857,2.290106773376465,"{""learning_rate"": 1.8205657658407255e-05, ""batch_size"": 32, ""hidden_dim"": 53, ""dropout"": 0.34211651325607845, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.0004467752817973908, ""activation"": ""tanh""}"
4,breast_cancer,mlp,bo,42,0.99737962659679,0.9824561403508771,1.3918042182922363,"{""learning_rate"": 0.0015375920235481753, ""batch_size"": 32, ""hidden_dim"": 233, ""dropout"": 0.29894998940554257, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.2172958098369984e-05, ""activation"": ""relu""}"
5,breast_cancer,mlp,bo,42,0.99737962659679,0.9824561403508771,1.7358934879302979,"{""learning_rate"": 0.000132965214572995, ""batch_size"": 64, ""hidden_dim"": 254, ""dropout"": 0.3861223846483287, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.9777828512462715e-06, ""activation"": ""relu""}"
6,breast_cancer,mlp,bo,42,0.9983622666229939,0.9824561403508771,1.6798903942108154,"{""learning_rate"": 0.028340904295147733, ""batch_size"": 16, ""hidden_dim"": 105, ""dropout"": 0.36480308916903204, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0001758364027000851, ""activation"": ""relu""}"
7,breast_cancer,mlp,bo,42,0.9911562397641664,0.9210526315789473,2.0472958087921143,"{""learning_rate"": 0.0012329098365270509, ""batch_size"": 16, ""hidden_dim"": 175, ""dropout"": 0.15717799053816334, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 2.031980983842497e-06, ""activation"": ""relu""}"
8,breast_cancer,mlp,bo,42,0.9963969865705864,0.9736842105263158,1.4024128913879395,"{""learning_rate"": 0.05233480488540085, ""batch_size"": 64, ""hidden_dim"": 73, ""dropout"": 0.4462794992449889, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.110120656497168e-05, ""activation"": ""tanh""}"
9,breast_cancer,mlp,bo,42,0.39240091713069114,0.6228070175438597,3.079718589782715,"{""learning_rate"": 1.0661259689433896e-05, ""batch_size"": 16, ""hidden_dim"": 107, ""dropout"": 0.4714548519562596, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 1.0165510266418738e-05, ""activation"": ""relu""}"
10,breast_cancer,mlp,bo,42,0.9967245332459875,0.9736842105263158,1.893202543258667,"{""learning_rate"": 0.00013783578294796384, ""batch_size"": 32, ""hidden_dim"": 94, ""dropout"": 0.45413294298332685, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0011129571947046015, ""activation"": ""tanh""}"
11,breast_cancer,mlp,bo,42,0.9967245332459876,0.9824561403508771,1.4059467315673828,"{""learning_rate"": 0.082254236741211, ""batch_size"": 128, ""hidden_dim"": 148, ""dropout"": 0.21867536769735996, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.006903717055434687, ""activation"": ""relu""}"
12,breast_cancer,mlp,bo,42,0.9977071732721913,0.9736842105263158,1.2952687740325928,"{""learning_rate"": 0.007957999294922049, ""batch_size"": 32, ""hidden_dim"": 219, ""dropout"": 0.30708093407902265, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 7.777786661662805e-05, ""activation"": ""relu""}"
13,breast_cancer,mlp,bo,42,0.9980347199475925,0.9912280701754386,1.5261425971984863,"{""learning_rate"": 0.009613970443985627, ""batch_size"": 16, ""hidden_dim"": 202, ""dropout"": 0.2590795828321593, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00014675408198355753, ""activation"": ""relu""}"
14,breast_cancer,mlp,bo,42,0.9980347199475925,0.9824561403508771,1.4963018894195557,"{""learning_rate"": 0.01223759424719126, ""batch_size"": 16, ""hidden_dim"": 189, ""dropout"": 0.22904850041004204, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0003571443607239381, ""activation"": ""relu""}"
15,breast_cancer,mlp,bo,42,0.998689813298395,0.9736842105263158,1.5069234371185303,"{""learning_rate"": 0.008482178195941506, ""batch_size"": 16, ""hidden_dim"": 122, ""dropout"": 0.3753710390121525, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0002079718253458124, ""activation"": ""relu""}"
16,breast_cancer,mlp,bo,42,0.9986898132983949,0.9736842105263158,1.386120080947876,"{""learning_rate"": 0.03198202091564131, ""batch_size"": 16, ""hidden_dim"": 125, ""dropout"": 0.39498284426566643, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.002395179971548449, ""activation"": ""relu""}"
17,breast_cancer,mlp,bo,42,0.9983622666229938,0.9736842105263158,1.3853917121887207,"{""learning_rate"": 0.0033512347790715154, ""batch_size"": 16, ""hidden_dim"": 142, ""dropout"": 0.41946328156415813, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.004620879789889417, ""activation"": ""relu""}"
18,breast_cancer,mlp,bo,42,0.998689813298395,0.9912280701754386,1.851975917816162,"{""learning_rate"": 0.023712910903778774, ""batch_size"": 16, ""hidden_dim"": 139, ""dropout"": 0.384123720216794, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0021979396984281, ""activation"": ""relu""}"
19,breast_cancer,mlp,bo,42,0.9990173599737963,0.9824561403508771,1.3666796684265137,"{""learning_rate"": 0.0027279293698417714, ""batch_size"": 128, ""hidden_dim"": 161, ""dropout"": 0.32598362912051754, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.001347985434048584, ""activation"": ""tanh""}"
20,breast_cancer,mlp,bo,42,0.9990173599737963,0.9824561403508771,1.2971417903900146,"{""learning_rate"": 0.0025760256031569216, ""batch_size"": 128, ""hidden_dim"": 161, ""dropout"": 0.1585588642261232, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0007983105440459755, ""activation"": ""tanh""}"
21,breast_cancer,mlp,bo,42,0.9983622666229938,0.9824561403508771,1.541717767715454,"{""learning_rate"": 0.00047346625723670006, ""batch_size"": 128, ""hidden_dim"": 168, ""dropout"": 0.03037733151859029, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0009234236327699344, ""activation"": ""tanh""}"
22,breast_cancer,mlp,bo,42,0.9993449066491975,0.9912280701754386,1.4076035022735596,"{""learning_rate"": 0.003587446393518552, ""batch_size"": 128, ""hidden_dim"": 165, ""dropout"": 0.1317295013077629, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0004479717901387345, ""activation"": ""tanh""}"
23,breast_cancer,mlp,bo,42,0.9990173599737963,0.9824561403508771,1.3586688041687012,"{""learning_rate"": 0.0029677688351694943, ""batch_size"": 128, ""hidden_dim"": 162, ""dropout"": 0.09927390067663171, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0008482662635305834, ""activation"": ""tanh""}"
24,breast_cancer,mlp,bo,42,0.9993449066491975,0.9824561403508771,1.334052324295044,"{""learning_rate"": 0.003376750782873772, ""batch_size"": 128, ""hidden_dim"": 191, ""dropout"": 0.1709477955663122, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 3.7481972718826685e-05, ""activation"": ""tanh""}"
25,breast_cancer,mlp,bo,42,0.9970520799213888,0.9736842105263158,1.311600923538208,"{""learning_rate"": 0.0005353079114179298, ""batch_size"": 128, ""hidden_dim"": 196, ""dropout"": 0.09232291260103871, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 3.129543779240668e-05, ""activation"": ""tanh""}"
26,breast_cancer,mlp,bo,42,0.9977071732721913,0.9824561403508771,1.2772901058197021,"{""learning_rate"": 0.005451731457746194, ""batch_size"": 128, ""hidden_dim"": 220, ""dropout"": 0.20729587829746876, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 3.3728610267667366e-05, ""activation"": ""tanh""}"
27,breast_cancer,mlp,bo,42,0.9983622666229938,0.9824561403508771,1.3561582565307617,"{""learning_rate"": 0.0011032295507365875, ""batch_size"": 128, ""hidden_dim"": 185, ""dropout"": 0.08993290098180051, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.00040623299479382584, ""activation"": ""tanh""}"
28,breast_cancer,mlp,bo,42,0.998689813298395,0.9736842105263158,1.2707958221435547,"{""learning_rate"": 0.004328273231771778, ""batch_size"": 128, ""hidden_dim"": 211, ""dropout"": 0.285103422833926, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.003498332172536891, ""activation"": ""tanh""}"
29,breast_cancer,mlp,bo,42,0.9977071732721913,0.9736842105263158,1.3704330921173096,"{""learning_rate"": 0.0017980941132106807, ""batch_size"": 128, ""hidden_dim"": 36, ""dropout"": 0.19049162088215918, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 1.948862642990381e-05, ""activation"": ""tanh""}"
30,breast_cancer,mlp,bo,42,0.9882083196855551,0.9473684210526315,1.817559003829956,"{""learning_rate"": 0.0006999135691179218, ""batch_size"": 64, ""hidden_dim"": 179, ""dropout"": 0.011916961776645363, ""num_layers"": 1, ""optimizer_name"": ""sgd"", ""weight_decay"": 4.5635710191635636e-06, ""activation"": ""tanh""}"
31,breast_cancer,mlp,bo,42,0.9970520799213888,0.9824561403508771,1.3672847747802734,"{""learning_rate"": 0.0002976576229326466, ""batch_size"": 128, ""hidden_dim"": 242, ""dropout"": 0.04799450044359223, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 9.065239932871299e-05, ""activation"": ""tanh""}"
32,breast_cancer,mlp,bo,42,0.9990173599737963,0.9912280701754386,1.3467199802398682,"{""learning_rate"": 0.0026269878150496067, ""batch_size"": 128, ""hidden_dim"": 163, ""dropout"": 0.154882523013203, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.001457719777961307, ""activation"": ""tanh""}"
33,breast_cancer,mlp,bo,42,0.9993449066491975,0.9824561403508771,1.3005270957946777,"{""learning_rate"": 0.017895957357896126, ""batch_size"": 128, ""hidden_dim"": 156, ""dropout"": 0.17653518958642153, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0004551615029126961, ""activation"": ""tanh""}"
34,breast_cancer,mlp,bo,42,0.9996724533245988,0.9824561403508771,1.4000253677368164,"{""learning_rate"": 0.01270314078229549, ""batch_size"": 128, ""hidden_dim"": 149, ""dropout"": 0.12507419867948677, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0003041271194973671, ""activation"": ""tanh""}"
35,breast_cancer,mlp,bo,42,0.9993449066491975,0.9824561403508771,1.2437283992767334,"{""learning_rate"": 0.01709121850188871, ""batch_size"": 128, ""hidden_dim"": 131, ""dropout"": 0.11910647482096445, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0003199213746675902, ""activation"": ""tanh""}"
36,breast_cancer,mlp,bo,42,0.9924664264657713,0.956140350877193,1.8335371017456055,"{""learning_rate"": 4.60665798445526e-05, ""batch_size"": 128, ""hidden_dim"": 145, ""dropout"": 0.18603696161069078, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0004847089270606403, ""activation"": ""tanh""}"
